Ra, Dec
293.46902,42.822410999999995
282.33279,42.463821
295.87633999999997,42.364819
296.3999,42.3871
292.05478,42.33025
295.78595,42.84428
283.98297,49.23299
284.84662000000003,49.692402
293.28827,48.811619
290.85177999999996,48.521339000000005
293.08447,48.575390000000006
291.22519,44.92738
294.10818,44.770699
294.10818,44.770699
294.10818,44.770699
293.61742999999996,45.016701
294.88181000000003,39.161072
296.47937,39.127571
293.36285,39.212447999999995
295.73193,39.587521
296.73502,39.187801
288.32043,42.261414
291.01358,42.283134000000004
299.54376,40.86026
295.05429,42.756840000000004
295.51068,42.930565
280.94385,42.839184
294.74207,43.536831
282.79764,43.578129
293.35129,43.134640000000005
283.2413,46.378471000000005
293.28156,43.055809
296.39639,44.963035999999995
287.1749,44.878571
294.12143,48.349522
287.1749,44.878571
296.93393,44.853642
292.13437000000005,44.65617
296.08185,39.161621000000004
288.65359,39.66431
296.23511,39.370338000000004
286.83487,39.760849
298.77338,47.786469
293.61121,39.417519
295.51068,42.930565
294.98547,42.727669
289.24817,42.565559
284.82272,46.013721000000004
282.18439,46.006859000000006
294.68027,49.140159999999995
297.97922,48.553871
286.03635,49.614509999999996
295.03461,48.882172
297.3916,48.560691999999996
286.57482999999996,44.7952
288.90857,44.64241
286.07523,44.664639
299.2749,44.553490000000004
289.88962000000004,45.005669
293.53415,44.971111
295.37079,39.177212
289.7261,39.272831
294.50842,39.398682
288.91643999999997,39.594711
291.92065,45.247028
297.57349,45.233299
290.88354,45.765869
292.48694,46.196209
286.36188,45.555161
290.49307000000005,45.205898
283.9368,49.110329
283.9368,49.110329
283.9368,49.110329
289.04999,51.418369
296.02509,43.234875
296.02509,43.234875
289.80521,46.491710999999995
293.6413,44.65704
294.12143,48.349522
293.6413,44.65704
294.2655,44.7943
288.86734,44.61573
286.01587,45.007771000000005
288.91643999999997,39.594711
288.91643999999997,39.594711
296.65308,39.322689000000004
289.7439,39.286301
297.71185,45.261921
293.38662999999997,45.87027
283.18908999999996,45.36417
294.91586,45.783871000000005
293.70905,45.286388
297.60528999999997,45.36068
283.55554,45.614262
297.89658,43.563889
294.54739,43.533691
295.4783,39.867722
295.095,43.537579
289.60382000000004,46.314949
283.25681000000003,45.08778
299.22162000000003,44.693871
285.0361,45.071059999999996
285.0361,45.071059999999996
288.90252999999996,44.632992
291.02013999999997,39.22068
296.35867,39.115189
296.35867,39.115189
296.35867,39.115189
296.35867,39.115189
284.79102,45.228989
284.20966,45.25808
291.02185,37.769791
287.392,46.059311
287.392,46.059311
299.6777,45.972328000000005
286.91711000000004,38.872219
293.61877000000004,39.022572
288.31436,38.693290999999995
293.59583,39.02948
298.34421000000003,45.40992
300.51712000000003,44.38158
284.67728,44.79768
297.11511,41.909141999999996
284.67728,44.79768
284.67728,44.79768
284.67728,44.79768
285.61746,39.379532
288.82291000000004,40.38905
292.27612,39.550179
292.27612,39.550179
292.27612,39.550179
284.58255,39.220211
285.96786000000003,45.739071
295.76083,45.457390000000004
293.17416000000003,45.521229
294.79001,45.391621
295.92609,45.383862
290.47995,45.6007
286.84528,37.815891
293.64841,38.976021
292.00681000000003,38.820728
294.35049,38.602131
295.21664,38.77433
286.58316,39.077202
293.37225,44.785140999999996
293.37225,44.785140999999996
296.71735,44.579659
286.96682999999996,44.992489
293.22995,45.053309999999996
297.71185,45.261921
296.43408,39.444069
290.47742,39.732009999999995
294.7699,39.398509999999995
294.7699,39.398509999999995
287.05453,45.18037
294.4639,49.765041
283.57422,45.734798
287.45279,45.704399
285.98865,45.377811
290.29456,45.564609999999995
286.58316,39.077202
288.1337,38.99688
290.86142,38.641129
291.01904,38.54557
290.66681,38.568329
287.99789,50.944328000000006
296.00711,44.853474
283.31592,48.404872999999995
297.11511,41.909141999999996
291.63698999999997,47.83234
298.25802999999996,48.217361
294.18967000000004,39.617119
284.86014,39.240551
292.63,42.829338
291.61008,42.759762
293.02036,42.508835
292.7399,42.359402
285.24667,45.950191
285.43552,45.976021
291.07468,45.24258
285.34583,45.367779
285.34583,45.367779
285.34583,45.367779
287.30786,39.144729999999996
290.10717999999997,38.702228999999996
290.10717999999997,38.702228999999996
292.4968,39.193169
293.8129,42.04871
291.98694,42.037651000000004
289.02017,48.119808
297.71039,48.083832
296.71634,48.211262
290.29385,47.96759
294.0217,48.390419
296.93268,48.266490999999995
298.18362,42.01313
286.30026000000004,42.374828
297.10837000000004,42.751663
294.09109,42.491459000000006
297.46533,42.882839000000004
297.46533,42.882839000000004
294.21893,49.479221
301.26144,45.104893
293.38153,48.82476
296.50739,49.457291
284.98886,49.626059999999995
298.76062,48.600182000000004
295.62222,42.09288
295.86691,42.062672
297.70712000000003,42.047371000000005
298.09171000000003,41.794128
287.99789,50.944328000000006
288.03989,41.818359
297.116,47.737949
296.83725,48.239944
297.11511,41.909141999999996
292.08905,47.929642
289.79077,48.448139000000005
298.80545,42.39584
294.96606,42.708569
292.1199,42.931678999999995
298.45953,42.187431
295.8255,42.94339
287.05172999999996,40.211552000000005
285.41196,48.725231
290.1127,48.577782
287.65045,49.156052
286.54001,49.437328
286.54001,49.437328
297.33563,41.89048
281.74261,42.123081
297.88437000000005,41.931252
298.79498,41.759769
298.13525,41.95105
296.14877,47.934872
293.61371,47.839001
293.2822,48.2859
291.59409,48.445609999999995
293.14648,47.729649
295.8255,42.94339
295.8255,42.94339
295.8255,42.94339
291.02069,42.46244
291.02069,42.46244
286.54001,49.437328
284.25131,48.809608000000004
292.32858,49.653542
296.32198999999997,48.971481
283.20917000000003,48.777640999999996
287.3912,42.194832
287.3912,42.194832
287.3912,42.194832
298.74422999999996,46.830090000000006
294.58929,41.944382
297.20895,41.781712
293.14648,47.729649
289.08365,48.018131
297.11511,41.909141999999996
294.23007,48.204479
296.61487,48.082642
297.79691,39.921371
288.72949,42.55088
299.2475,46.951908
291.23883,40.163509000000005
290.82602,44.184109
294.27727999999996,46.675282
295.02167000000003,46.619221
293.57776,46.736340000000006
294.16882000000004,46.714611
292.35393999999997,46.226279999999996
288.23666000000003,46.605919
297.12186,46.221909000000004
297.77927,46.492740999999995
289.95078,50.657249
294.44177,40.557590000000005
294.44177,40.557590000000005
294.44177,40.557590000000005
284.39429,46.249081
294.44177,40.557590000000005
290.05112,46.713371
298.96255,40.630660999999996
282.06127999999995,47.085491
282.06127999999995,47.085491
291.40555,40.125488
293.64417000000003,46.989761
294.78915,46.983990000000006
288.25458,43.704868
293.8656,47.026829
294.2413,47.275982
296.4418,46.616710999999995
295.45715,50.077171
297.66452000000004,43.248959
296.82291000000004,48.107552
289.60677999999996,39.938332
295.04639,46.97459
295.18561,46.786709
297.41965,43.876579
296.03342000000004,40.019611
299.556,40.456551
298.3949,40.62891
284.78619,48.423229
285.47659,41.632717
284.73859,47.169628
290.35803,40.567741
295.32251,39.376492
294.32635,47.217609
283.62885,48.391003000000005
294.95511,44.149817999999996
284.27396,41.535019
295.21661,50.084332
297.04651,49.97039
285.0571,46.320679
285.0571,46.320679
297.72427000000005,43.527431
297.72427000000005,43.527431
299.22433,40.343182
299.22433,40.343182
299.22433,40.343182
299.22433,40.343182
298.94815,41.812149
288.25284,51.417332
289.50635,45.370998
296.04736,42.743010999999996
294.99023,39.346378
298.5892,40.750690000000006
293.54889,42.888859000000004
298.11121,41.758331
301.4693,44.159649
293.60126,42.379761
